time,wx,wy,wz
14.260862350463867,-0.52,0.8,-0.72
14.27051830291748,-0.59,0.23,-0.75
14.280479192733765,-0.65,-0.45,-0.72
14.290477275848389,-0.66,-0.92,-0.67
14.300340175628662,-0.69,-0.91,-0.58
14.310623168945312,-0.73,-0.51,-0.48
14.33007001876831,-0.71,0.74,-0.56
14.332393169403076,-0.71,0.74,-0.56
14.339873313903809,-0.77,1.15,-0.68
14.350377082824707,-0.87,1.11,-0.75
14.359790325164795,-0.92,0.64,-0.74
14.369816303253174,-0.93,-0.08,-0.67
14.37964916229248,-0.93,-0.62,-0.66
14.389723300933838,-0.89,-0.66,-0.68
14.399839162826538,-0.81,-0.32,-0.7
14.409876346588135,-0.74,0.17,-0.68
14.429461002349854,-0.93,0.48,-0.69
14.431687116622925,-0.93,0.48,-0.69
14.439370155334473,-1.01,0.24,-0.76
14.449329137802124,-0.99,-0.08,-0.85
14.45932412147522,-0.92,-0.33,-0.92
14.469075202941895,-0.87,-0.48,-0.98
14.479074001312256,-0.86,-0.56,-1.01
14.489159107208252,-0.9,-0.63,-0.98
14.498900175094604,-0.99,-0.68,-0.83
14.509214162826538,-1.05,-0.64,-0.61
14.519950151443481,-0.96,-0.48,-0.48
14.537257194519043,-0.73,-0.18,-0.45
14.539577007293701,-0.44,0.14,-0.43
14.54845905303955,-0.13,0.31,-0.4
14.558409214019775,0.19,0.28,-0.33
14.568409204483032,0.52,0.02,-0.21
14.578513145446777,0.86,-0.34,-0.04
14.588138103485107,1.13,-0.6,0.18
14.598179340362549,1.23,-0.61,0.46
14.60828423500061,1.15,-0.4,0.72
14.619115352630615,1.13,-0.06,0.93
14.637160301208496,1.22,0.29,1.06
14.639862060546875,1.34,0.51,1.15
14.647716999053955,1.43,0.48,1.18
14.657648086547852,1.48,0.19,1.19
14.667927265167236,1.47,-0.19,1.21
14.677711009979248,1.38,-0.45,1.3
14.687518119812012,1.24,-0.5,1.4
14.697479248046875,1.2,-0.33,1.44
14.707265138626099,1.2,-0.01,1.34
14.718552112579346,1.22,0.46,1.17
14.736619234085083,1.17,0.7,1.02
14.739258289337158,1.17,0.7,1.02
14.746934175491333,1.17,0.31,1.04
14.75731611251831,1.05,-0.21,1.15
14.766975164413452,0.92,-0.68,1.31
14.776902198791504,0.99,-0.9,1.38
14.786774158477783,1.14,-0.77,1.23
14.796760082244873,1.2,-0.32,0.91
14.806719303131104,1.01,0.3,0.76
14.818217277526855,0.77,0.79,0.87
14.834514141082764,0.8,1.02,0.97
14.837282180786133,0.88,1.03,0.98
14.846764087677002,0.85,0.76,0.86
14.85610818862915,0.69,0.22,0.59
14.866268157958984,0.4,-0.43,0.49
14.876092195510864,0.18,-0.88,0.59
14.886052131652832,0.2,-0.81,0.7
14.896024227142334,0.22,-0.2,0.69
14.90601110458374,0.21,0.58,0.52
14.915931224822998,0.21,1.04,0.31
14.935717105865479,0.05,0.49,0.31
14.937418222427368,0.05,0.49,0.31
14.945676326751709,0.0,-0.12,0.29
14.955454349517822,-0.04,-0.41,0.17
14.965595245361328,-0.0,-0.19,0.03
14.975415229797363,0.1,0.47,-0.15
14.985571146011353,0.13,1.06,-0.37
14.995310306549072,0.06,1.04,-0.5
15.005287170410156,-0.07,0.37,-0.51
15.0176362991333,-0.19,-0.69,-0.4
15.034481048583984,-0.27,-1.85,-0.06
15.037217140197754,-0.27,-1.85,-0.06
15.0450119972229,-0.22,-1.52,-0.02
15.054745197296143,-0.1,-0.66,-0.03
15.064818143844604,0.03,0.48,-0.07
15.074957132339478,0.16,1.43,-0.1
15.084609031677246,0.18,1.81,-0.17
15.094361305236816,0.08,1.56,-0.18
15.10462212562561,-0.03,0.83,-0.1
15.114845275878906,-0.08,-0.0,0.02
15.134195327758789,-0.09,-0.59,-0.03
15.136738300323486,-0.09,-0.59,-0.03
15.144203186035156,-0.13,-0.37,-0.12
15.15398621559143,-0.18,-0.17,-0.13
15.16435718536377,-0.3,-0.14,-0.05
15.173900127410889,-0.42,-0.26,0.09
15.183841228485107,-0.52,-0.28,0.27
15.194025039672852,-0.58,-0.07,0.48
15.204231262207031,-0.56,0.36,0.65
15.214957237243652,-0.52,0.84,0.69
15.23276424407959,-0.52,1.1,0.64
15.235376119613647,-0.48,0.97,0.58
15.243511199951172,-0.4,0.6,0.48
15.253587245941162,-0.33,0.27,0.28
15.26344919204712,-0.22,0.17,0.05
15.273212194442749,-0.07,0.25,-0.15
15.28323221206665,0.05,0.3,-0.34
15.293124198913574,0.17,0.11,-0.48
15.303007125854492,0.21,-0.29,-0.56
15.31311821937561,0.23,-0.72,-0.54
15.324082136154175,0.28,-0.93,-0.4
15.3424391746521,0.31,-0.78,-0.3
15.34488821029663,0.32,-0.38,-0.27
15.352505207061768,0.26,0.07,-0.2
15.36253023147583,0.19,0.36,-0.06
15.372448205947876,0.14,0.46,0.05
15.382578134536743,0.1,0.36,0.17
15.392384052276611,0.11,0.17,0.31
15.402154207229614,0.11,-0.01,0.4
15.412278175354004,0.09,-0.11,0.44
15.422779083251953,0.06,-0.12,0.39
15.43995213508606,0.03,-0.03,0.28
15.442438125610352,0.04,0.18,0.22
15.451870203018188,0.08,0.43,0.13
15.461833000183105,0.2,0.6,0.01
15.471671104431152,0.27,0.6,-0.09
15.481824159622192,0.26,0.35,-0.18
15.49170207977295,0.19,-0.06,-0.27
15.501538276672363,0.11,-0.44,-0.33
15.511689186096191,0.04,-0.67,-0.38
15.52180004119873,0.0,-0.77,-0.41
15.541136264801025,-0.03,-0.72,-0.25
15.543851137161255,-0.03,-0.72,-0.25
15.551023006439209,0.0,-0.62,-0.12
15.561474323272705,0.04,-0.4,-0.02
15.570756196975708,0.04,-0.06,0.04
15.580982208251953,0.04,0.3,0.05
15.590947151184082,0.05,0.57,0.04
15.600817203521729,0.02,0.64,0.03
15.611119270324707,-0.03,0.51,-0.04
15.620913028717041,-0.06,0.33,-0.12
15.640351295471191,-0.11,0.29,-0.34
15.64300012588501,-0.11,0.29,-0.34
15.650633335113525,-0.13,0.26,-0.5
15.660412311553955,-0.18,0.09,-0.63
15.670212268829346,-0.25,-0.18,-0.69
15.680363178253174,-0.29,-0.41,-0.7
15.690131187438965,-0.32,-0.54,-0.67
15.700093269348145,-0.36,-0.64,-0.64
15.710196018218994,-0.42,-0.73,-0.58
15.719935178756714,-0.49,-0.78,-0.48
15.738178253173828,-0.55,-0.71,-0.37
15.740427017211914,-0.57,-0.5,-0.29
15.749498128890991,-0.57,-0.17,-0.23
15.759737014770508,-0.55,0.2,-0.17
15.76953125,-0.56,0.51,-0.11
15.779596328735352,-0.59,0.61,-0.04
15.789504051208496,-0.61,0.46,-0.02
15.799416065216064,-0.63,0.12,-0.08
15.80937123298645,-0.64,-0.26,-0.21
15.821324348449707,-0.64,-0.41,-0.34
15.837714195251465,-0.59,-0.24,-0.46
15.840563297271729,-0.52,0.14,-0.57
15.848987102508545,-0.46,0.46,-0.72
15.859082221984863,-0.49,0.51,-0.84
15.868839263916016,-0.58,0.34,-0.91
15.878838062286377,-0.67,0.08,-0.93
15.88877534866333,-0.68,-0.18,-0.95
15.89872932434082,-0.67,-0.39,-0.99
